                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.45993,                0.46615,                0.93213,                0.90133,                0.87568,                0.94921,                0.84822,                0.41601,                0.58873,                0.90966,              0.0010093,              0.0010093,              0.0010093
                     92,                0.45926,                 0.5036,                  0.939,                0.89736,                0.87381,                0.95227,                0.85914,                0.40393,                0.54702,                0.90471,              0.0010046,              0.0010046,              0.0010046
                     93,                0.49397,                0.48202,                 1.0169,                0.95923,                0.87381,                0.95951,                0.87143,                0.41401,                 0.4668,                0.90408,             0.00099987,             0.00099987,             0.00099987
                     94,                0.42522,                0.46463,                 0.9184,                0.91146,                0.94021,                0.96231,                0.87958,                0.39697,                0.40035,                0.89678,             0.00099516,             0.00099516,             0.00099516
                     95,                 0.4417,                0.45772,                 0.9744,                0.96475,                0.89159,                0.96247,                0.88698,                0.38816,                0.39247,                 0.8927,             0.00099044,             0.00099044,             0.00099044
                     96,                0.41105,                0.46695,                0.90846,                0.95022,                0.92051,                0.96292,                0.86857,                 0.4034,                0.42021,                0.90181,             0.00098572,             0.00098572,             0.00098572
                     97,                0.43398,                0.41369,                0.91771,                0.94584,                0.85507,                0.95521,                0.84902,                0.43706,                0.48271,                0.92099,             0.00098101,             0.00098101,             0.00098101
                     98,                0.43313,                 0.4611,                 0.9294,                0.94119,                0.85547,                0.94874,                0.85312,                0.43814,                0.48473,                0.92595,             0.00097629,             0.00097629,             0.00097629
                     99,                0.44565,                0.41888,                0.93521,                0.95658,                0.88261,                0.94941,                0.84195,                0.46417,                0.45956,                0.94982,             0.00097158,             0.00097158,             0.00097158
                    100,                0.41078,                0.47558,                0.92018,                0.95501,                0.89613,                0.95271,                0.84436,                0.44787,                0.43434,                0.95676,             0.00096686,             0.00096686,             0.00096686
                    101,                0.39746,                 0.3899,                0.90653,                0.95347,                0.89535,                0.96062,                0.87004,                0.43318,                 0.4149,                0.94491,             0.00096215,             0.00096215,             0.00096215
                    102,                 0.4148,                0.52668,                0.92706,                0.97327,                0.94412,                0.97441,                0.90227,                0.39104,                0.39438,                0.91379,             0.00095743,             0.00095743,             0.00095743
                    103,                0.38942,                0.43042,                 0.9114,                0.95263,                0.92648,                0.96767,                0.88797,                0.38491,                0.40999,                0.88639,             0.00095271,             0.00095271,             0.00095271
                    104,                0.39765,                0.45767,                0.91523,                0.98209,                0.92906,                 0.9675,                0.91382,                0.36868,                0.40574,                0.87417,               0.000948,               0.000948,               0.000948
                    105,                0.41577,                0.49785,                0.92646,                0.98466,                0.92337,                0.97081,                0.91681,                0.35079,                0.40547,                 0.8661,             0.00094328,             0.00094328,             0.00094328
                    106,                0.52639,                0.56479,                 1.0336,                 0.9516,                 0.9506,                0.96749,                0.91227,                 0.3681,                0.41271,                0.88558,             0.00093857,             0.00093857,             0.00093857
                    107,                0.47934,                0.46192,                0.98444,                0.97012,                0.94399,                0.96776,                0.89057,                0.38247,                0.41998,                0.89424,             0.00093385,             0.00093385,             0.00093385
                    108,                0.48047,                0.51893,                0.95745,                0.97002,                0.92126,                0.96592,                0.88517,                 0.3784,                0.41331,                0.88885,             0.00092914,             0.00092914,             0.00092914
                    109,                0.38462,                0.37427,                 0.9057,                 0.9322,                0.94884,                0.96658,                0.89431,                0.37598,                0.41263,                0.88452,             0.00092442,             0.00092442,             0.00092442
                    110,                0.36318,                0.53815,                 0.9118,                0.94181,                0.94197,                0.95865,                0.90218,                0.37477,                0.42968,                0.88012,              0.0009197,              0.0009197,              0.0009197
                    111,                0.42114,                0.38686,                0.93488,                0.90881,                0.92522,                0.94841,                0.87323,                0.41009,                0.48103,                0.90134,             0.00091499,             0.00091499,             0.00091499
                    112,                0.40472,                0.39357,                0.92488,                0.93851,                0.91639,                0.96217,                0.87861,                0.40374,                0.50071,                0.90732,             0.00091027,             0.00091027,             0.00091027
                    113,                0.39646,                 0.4371,                0.92279,                0.92974,                0.89847,                0.96395,                 0.8851,                0.38854,                0.49565,                0.90068,             0.00090556,             0.00090556,             0.00090556
                    114,                0.43474,                 0.4171,                0.92647,                0.93186,                0.86131,                0.94899,                0.88179,                0.38391,                0.58328,                0.89777,             0.00090084,             0.00090084,             0.00090084
                    115,                 0.4131,                0.44159,                0.93669,                0.93134,                0.88512,                0.94359,                0.88338,                0.39661,                0.48274,                0.90669,             0.00089613,             0.00089613,             0.00089613
                    116,                0.40098,                0.37445,                0.90388,                0.91671,                0.90193,                0.93968,                0.88164,                0.40543,                0.47554,                 0.9072,             0.00089141,             0.00089141,             0.00089141
                    117,                0.41663,                 0.5635,                0.93763,                 0.9027,                0.92572,                 0.9453,                0.87499,                0.38282,                0.43971,                0.90344,             0.00088669,             0.00088669,             0.00088669
                    118,                0.41641,                0.39114,                 0.9276,                0.95062,                0.88778,                0.95671,                0.88872,                0.39129,                0.45374,                0.89993,             0.00088198,             0.00088198,             0.00088198
                    119,                 0.4175,                0.39904,                 0.9188,                 0.9503,                0.90715,                0.96135,                0.88064,                0.41028,                0.45935,                0.90407,             0.00087726,             0.00087726,             0.00087726
                    120,                0.37401,                0.39393,                0.91403,                 0.9298,                0.91346,                0.96539,                0.87805,                0.42638,                0.50519,                0.90969,             0.00087255,             0.00087255,             0.00087255
                    121,                0.40162,                0.36377,                 0.9098,                0.97475,                0.87548,                0.96282,                0.87979,                0.40254,                0.56399,                0.89887,             0.00086783,             0.00086783,             0.00086783
                    122,                0.43833,                0.49708,                0.99509,                0.96875,                0.89167,                0.96864,                0.89163,                 0.3666,                0.46589,                0.88627,             0.00086312,             0.00086312,             0.00086312
                    123,                0.45697,                0.51021,                0.96014,                0.95507,                0.89519,                0.95342,                0.86919,                0.38679,                0.47579,                0.88881,              0.0008584,              0.0008584,              0.0008584
                    124,                0.43412,                0.46166,                 0.9401,                0.91464,                0.88474,                0.93912,                0.85276,                0.38675,                0.57686,                0.88846,             0.00085368,             0.00085368,             0.00085368
                    125,                 0.3776,                0.36571,                0.91321,                0.89189,                0.88333,                0.92962,                0.84899,                0.37171,                0.59542,                0.88686,             0.00084897,             0.00084897,             0.00084897
                    126,                 0.3674,                 0.4436,                0.90012,                0.92518,                0.87044,                0.92463,                0.85784,                0.34683,                 0.5818,                0.88246,             0.00084425,             0.00084425,             0.00084425
                    127,                0.38981,                0.35879,                0.92831,                0.88358,                0.91124,                0.94595,                0.87491,                0.36607,                0.50225,                0.88412,             0.00083954,             0.00083954,             0.00083954
                    128,                0.53453,                 1.1289,                 1.0727,                0.92471,                0.90838,                0.95302,                0.87109,                0.37855,                0.49799,                 0.8881,             0.00083482,             0.00083482,             0.00083482
                    129,                0.38103,                0.46504,                0.89767,                0.96144,                0.89354,                0.94542,                0.86009,                0.37876,                0.55726,                0.89898,             0.00083011,             0.00083011,             0.00083011
                    130,                0.38766,                0.36379,                0.91306,                0.94803,                0.88395,                0.94972,                0.87053,                0.35623,                0.45802,                0.88805,             0.00082539,             0.00082539,             0.00082539
                    131,                 0.3667,                0.36518,                0.92553,                0.94333,                0.92024,                0.95613,                0.87949,                0.35418,                0.43203,                 0.8824,             0.00082067,             0.00082067,             0.00082067
                    132,                0.35854,                0.36209,                 0.8822,                0.93325,                0.90684,                0.94961,                 0.8771,                0.37802,                0.48638,                0.88726,             0.00081596,             0.00081596,             0.00081596
                    133,                0.37317,                0.37562,                0.90831,                0.93835,                 0.8377,                0.93919,                0.86576,                0.39105,                0.56488,                0.89957,             0.00081124,             0.00081124,             0.00081124
                    134,                0.39193,                 0.3981,                0.93084,                0.93002,                0.84498,                0.93936,                0.86221,                0.40301,                0.58903,                0.90921,             0.00080653,             0.00080653,             0.00080653
                    135,                0.37008,                0.36458,                0.88613,                0.96125,                0.88903,                0.95404,                 0.8915,                0.38173,                0.50302,                0.89491,             0.00080181,             0.00080181,             0.00080181
                    136,                0.46569,                0.79475,                 0.9668,                0.94212,                0.96488,                0.97396,                 0.9041,                 0.3823,                0.43931,                0.89255,              0.0007971,              0.0007971,              0.0007971
                    137,                0.38957,                0.35147,                0.91346,                0.96436,                0.96488,                0.97699,                0.89317,                0.37889,                0.42351,                0.89217,             0.00079238,             0.00079238,             0.00079238
                    138,                 0.4121,                0.38957,                0.92551,                0.97139,                 0.9371,                0.97369,                0.88564,                0.39428,                0.43397,                0.90143,             0.00078766,             0.00078766,             0.00078766
                    139,                0.39551,                0.44735,                0.91776,                0.96435,                0.94107,                0.96623,                0.89051,                0.39347,                0.46274,                0.90762,             0.00078295,             0.00078295,             0.00078295
                    140,                0.38783,                0.37842,                0.91914,                0.97048,                0.93896,                0.96487,                0.88316,                0.38609,                0.46486,                0.90417,             0.00077823,             0.00077823,             0.00077823
                    141,                0.35953,                0.38017,                0.92446,                0.97576,                0.93656,                0.96286,                0.89367,                0.38274,                0.48516,                0.89782,             0.00077352,             0.00077352,             0.00077352
                    142,                0.36933,                0.34403,                0.89274,                0.97965,                0.94107,                 0.9658,                0.90114,                0.38135,                0.42824,                 0.8874,              0.0007688,              0.0007688,              0.0007688
                    143,                 0.3442,                0.49381,                0.90027,                0.97964,                0.94573,                0.96668,                0.91338,                0.37567,                 0.4303,                0.88344,             0.00076409,             0.00076409,             0.00076409
                    144,                0.38698,                 0.3952,                0.91314,                0.94778,                0.95036,                0.95942,                0.90468,                0.36341,                0.47517,                0.88583,             0.00075937,             0.00075937,             0.00075937
                    145,                 0.3958,                0.43415,                0.93294,                0.96224,                0.93896,                0.95437,                0.90505,                 0.3563,                0.44242,                0.88513,             0.00075465,             0.00075465,             0.00075465
                    146,                0.36021,                0.34972,                0.89349,                0.97082,                0.92679,                0.95958,                0.90065,                0.35971,                 0.4326,                 0.8804,             0.00074994,             0.00074994,             0.00074994
                    147,                0.73082,                0.72425,                 1.2738,                0.94741,                0.93155,                 0.9611,                0.89511,                0.38645,                0.44997,                0.88348,             0.00074522,             0.00074522,             0.00074522
                    148,                0.35862,                0.41985,                0.88665,                0.95286,                0.92024,                0.95738,                 0.8728,                0.40248,                0.46032,                0.89139,             0.00074051,             0.00074051,             0.00074051
                    149,                0.33286,                0.34399,                0.89198,                0.95141,                  0.925,                0.95289,                0.86834,                0.41125,                0.46933,                0.89685,             0.00073579,             0.00073579,             0.00073579
                    150,                0.38622,                0.54886,                0.91366,                 0.9487,                  0.925,                0.94679,                0.87313,                0.36827,                 0.4682,                0.88883,             0.00073108,             0.00073108,             0.00073108
                    151,                0.33849,                0.33085,                0.88712,                 0.9427,                0.92764,                0.95487,                0.86987,                0.35533,                0.45557,                0.88691,             0.00072636,             0.00072636,             0.00072636
                    152,                 0.4973,                 0.5476,                 1.0549,                0.93545,                0.93662,                0.95594,                0.87149,                0.36655,                0.46974,                0.89663,             0.00072164,             0.00072164,             0.00072164
                    153,                0.34882,                0.40584,                0.88154,                0.94873,                0.91757,                0.95447,                0.87416,                0.36164,                0.46816,                0.90264,             0.00071693,             0.00071693,             0.00071693
                    154,                0.38149,                0.62746,                0.91934,                 0.9374,                0.90132,                0.96441,                0.88942,                0.36451,                0.46602,                0.89634,             0.00071221,             0.00071221,             0.00071221
                    155,                0.34799,                0.34042,                0.88168,                0.95654,                0.93403,                0.97052,                0.89084,                0.37736,                0.46422,                0.90366,              0.0007075,              0.0007075,              0.0007075
